id,name,logoPath,description,isActive
46,sunhouse,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_103/sunhouse_icon_611.png,,True
47,mutosi,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_425/mutosi_icon_324.png,,True
48,daikiosan,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_430/daikiosan_icon_689.png,,True
49,hong-hanh,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_511/hong-hanh_icon_367.png,,True
50,apple,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_23/apple_icon_699.png,,True
51,oppo,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_82/oppo_icon_789.png,,True
52,vivo,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_366/vivo_icon_932.png,,True
53,realme,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_443/realme_icon_400.png,,True
54,nokia,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_123/nokia_icon_477.png,,True
55,ipad-apple,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_518/ipad-apple_icon_18.png,,True
56,lenovo,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture/Apro/Apro_series_22/lenovo_icon_595.png,,True
